evaluation,reference_method,identity_definition,episode_id,query_id,logical_identity,topology_id,history_match_count,decision_status,predicted_action,actual_best_action,top1_correct,regret_log2,evidence_episode_ids_json
E2,logical_query_memory,logical_identity_without_topology,q03_event_recent::run-1,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q03_event_recent::run-1,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q03_event_recent::run-1,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q03_event_recent::run-1,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q03_event_recent::run-2,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q03_event_recent::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q03_event_recent::run-2,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q03_event_recent::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q03_event_recent::run-3,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q03_event_recent::run-1"",""q03_event_recent::run-2""]"
E2,exact_context_memory,logical_identity+topology_id,q03_event_recent::run-3,q03_event_recent,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,eu_us_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q03_event_recent::run-1"",""q03_event_recent::run-2""]"
E2,logical_query_memory,logical_identity_without_topology,q04_event_oldest::run-1,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q04_event_oldest::run-1,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q04_event_oldest::run-1,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q04_event_oldest::run-1,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q04_event_oldest::run-2,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q04_event_oldest::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q04_event_oldest::run-2,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q04_event_oldest::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q04_event_oldest::run-3,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q04_event_oldest::run-1"",""q04_event_oldest::run-2""]"
E2,exact_context_memory,logical_identity+topology_id,q04_event_oldest::run-3,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q04_event_oldest::run-1"",""q04_event_oldest::run-2""]"
E2,logical_query_memory,logical_identity_without_topology,q04_event_oldest::run-4,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,3,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q04_event_oldest::run-1"",""q04_event_oldest::run-2"",""q04_event_oldest::run-3""]"
E2,exact_context_memory,logical_identity+topology_id,q04_event_oldest::run-4,q04_event_oldest,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,eu_us_gac,3,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q04_event_oldest::run-1"",""q04_event_oldest::run-2"",""q04_event_oldest::run-3""]"
E2,logical_query_memory,logical_identity_without_topology,q05_event_deviation::run-1,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q05_event_deviation::run-1,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q05_event_deviation::run-1,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q05_event_deviation::run-1,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q05_event_deviation::run-2,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q05_event_deviation::run-2,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q05_event_deviation::run-3,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,2,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1"",""q05_event_deviation::run-2""]"
E2,exact_context_memory,logical_identity+topology_id,q05_event_deviation::run-3,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,2,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1"",""q05_event_deviation::run-2""]"
E2,logical_query_memory,logical_identity_without_topology,q05_event_deviation::run-4,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,3,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1"",""q05_event_deviation::run-2"",""q05_event_deviation::run-3""]"
E2,exact_context_memory,logical_identity+topology_id,q05_event_deviation::run-4,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,3,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1"",""q05_event_deviation::run-2"",""q05_event_deviation::run-3""]"
E2,logical_query_memory,logical_identity_without_topology,q05_event_deviation::run-5,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,4,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1"",""q05_event_deviation::run-2"",""q05_event_deviation::run-3"",""q05_event_deviation::run-4""]"
E2,exact_context_memory,logical_identity+topology_id,q05_event_deviation::run-5,q05_event_deviation,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,eu_us_gac,4,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q05_event_deviation::run-1"",""q05_event_deviation::run-2"",""q05_event_deviation::run-3"",""q05_event_deviation::run-4""]"
E2,logical_query_memory,logical_identity_without_topology,q06_tenant_sum::run-1,q06_tenant_sum,82a4b1652b8883fb8dad714052530b1788280c0ae3dd3cb8823fe3b0d8dea3ac,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q06_tenant_sum::run-1,q06_tenant_sum,82a4b1652b8883fb8dad714052530b1788280c0ae3dd3cb8823fe3b0d8dea3ac,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q06_tenant_sum::run-1,q06_tenant_sum,82a4b1652b8883fb8dad714052530b1788280c0ae3dd3cb8823fe3b0d8dea3ac,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q06_tenant_sum::run-1,q06_tenant_sum,82a4b1652b8883fb8dad714052530b1788280c0ae3dd3cb8823fe3b0d8dea3ac,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q07_tenant_count::run-1,q07_tenant_count,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q07_tenant_count::run-1,q07_tenant_count,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q07_tenant_count::run-1,q07_tenant_count,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q07_tenant_count::run-1,q07_tenant_count,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q07_tenant_count::run-2,q07_tenant_count,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,eu_us_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q07_tenant_count::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q07_tenant_count::run-2,q07_tenant_count,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,eu_us_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q07_tenant_count::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q08_tenant_avg::run-1,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q08_tenant_avg::run-1,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q08_tenant_avg::run-1,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q08_tenant_avg::run-1,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q08_tenant_avg::run-2,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q08_tenant_avg::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q08_tenant_avg::run-2,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q08_tenant_avg::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q08_tenant_avg::run-3,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,2,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q08_tenant_avg::run-1"",""q08_tenant_avg::run-2""]"
E2,exact_context_memory,logical_identity+topology_id,q08_tenant_avg::run-3,q08_tenant_avg,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,eu_us_gac,2,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q08_tenant_avg::run-1"",""q08_tenant_avg::run-2""]"
E2,logical_query_memory,logical_identity_without_topology,q09_tenant_max::run-1,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q09_tenant_max::run-1,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q09_tenant_max::run-1,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q09_tenant_max::run-1,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q09_tenant_max::run-2,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q09_tenant_max::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q09_tenant_max::run-2,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q09_tenant_max::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q09_tenant_max::run-3,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q09_tenant_max::run-1"",""q09_tenant_max::run-2""]"
E2,exact_context_memory,logical_identity+topology_id,q09_tenant_max::run-3,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q09_tenant_max::run-1"",""q09_tenant_max::run-2""]"
E2,logical_query_memory,logical_identity_without_topology,q09_tenant_max::run-4,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,3,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q09_tenant_max::run-1"",""q09_tenant_max::run-2"",""q09_tenant_max::run-3""]"
E2,exact_context_memory,logical_identity+topology_id,q09_tenant_max::run-4,q09_tenant_max,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,eu_us_apac_gac,3,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q09_tenant_max::run-1"",""q09_tenant_max::run-2"",""q09_tenant_max::run-3""]"
E2,logical_query_memory,logical_identity_without_topology,q10_tenant_min::run-1,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q10_tenant_min::run-1,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q10_tenant_min::run-1,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q10_tenant_min::run-1,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q10_tenant_min::run-2,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q10_tenant_min::run-2,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q10_tenant_min::run-3,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1"",""q10_tenant_min::run-2""]"
E2,exact_context_memory,logical_identity+topology_id,q10_tenant_min::run-3,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,2,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1"",""q10_tenant_min::run-2""]"
E2,logical_query_memory,logical_identity_without_topology,q10_tenant_min::run-4,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,3,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1"",""q10_tenant_min::run-2"",""q10_tenant_min::run-3""]"
E2,exact_context_memory,logical_identity+topology_id,q10_tenant_min::run-4,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,3,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1"",""q10_tenant_min::run-2"",""q10_tenant_min::run-3""]"
E2,logical_query_memory,logical_identity_without_topology,q10_tenant_min::run-5,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,4,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1"",""q10_tenant_min::run-2"",""q10_tenant_min::run-3"",""q10_tenant_min::run-4""]"
E2,exact_context_memory,logical_identity+topology_id,q10_tenant_min::run-5,q10_tenant_min,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,eu_us_apac_gac,4,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q10_tenant_min::run-1"",""q10_tenant_min::run-2"",""q10_tenant_min::run-3"",""q10_tenant_min::run-4""]"
E2,logical_query_memory,logical_identity_without_topology,q11_tenant_high_count::run-1,q11_tenant_high_count,5e5d10fdfa8932055d31658300e8657de100e5a9a6617c3c715332b89e01839c,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q11_tenant_high_count::run-1,q11_tenant_high_count,5e5d10fdfa8932055d31658300e8657de100e5a9a6617c3c715332b89e01839c,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q11_tenant_high_count::run-1,q11_tenant_high_count,5e5d10fdfa8932055d31658300e8657de100e5a9a6617c3c715332b89e01839c,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q11_tenant_high_count::run-1,q11_tenant_high_count,5e5d10fdfa8932055d31658300e8657de100e5a9a6617c3c715332b89e01839c,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q12_tenant_user_sum::run-1,q12_tenant_user_sum,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q12_tenant_user_sum::run-1,q12_tenant_user_sum,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q12_tenant_user_sum::run-1,q12_tenant_user_sum,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q12_tenant_user_sum::run-1,q12_tenant_user_sum,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,eu_us_apac_gac,0,identity_unseen,,regional_topk_candidates,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q12_tenant_user_sum::run-2,q12_tenant_user_sum,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,eu_us_apac_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q12_tenant_user_sum::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q12_tenant_user_sum::run-2,q12_tenant_user_sum,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,eu_us_apac_gac,1,available,regional_topk_candidates,regional_topk_candidates,True,0.0,"[""q12_tenant_user_sum::run-1""]"
E2,logical_query_memory,logical_identity_without_topology,q13_tenant_user_count::run-1,q13_tenant_user_count,8abd4dad5be8a8b072675fe97f3c25d8b29f0a4ad601501d7ca205a8f9a80277,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q13_tenant_user_count::run-1,q13_tenant_user_count,8abd4dad5be8a8b072675fe97f3c25d8b29f0a4ad601501d7ca205a8f9a80277,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q13_tenant_user_count::run-1,q13_tenant_user_count,8abd4dad5be8a8b072675fe97f3c25d8b29f0a4ad601501d7ca205a8f9a80277,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q13_tenant_user_count::run-1,q13_tenant_user_count,8abd4dad5be8a8b072675fe97f3c25d8b29f0a4ad601501d7ca205a8f9a80277,eu_us_apac_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q13_tenant_user_count::run-2,q13_tenant_user_count,8abd4dad5be8a8b072675fe97f3c25d8b29f0a4ad601501d7ca205a8f9a80277,eu_us_apac_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q13_tenant_user_count::run-1""]"
