manual_case_id,logical_run_id,query_run_id,instance_id,template_id,logical_question_id,execution_strategy,expected_shape_tags,intervention_axis,dataset_id,runtime_config_id,attempt_number,expected_regions,observed_regions,observed_remote_fragment_count,observed_worker_fragment_count,worker_unavailable_plan_count,evidence_completeness,issue_codes,selection_reason,selection_seed,selection_score,review_status,link_correct,raw_main_plan_verified,raw_remote_plan_verified,raw_worker_plan_verified,sql_identity_verified,region_identity_verified,attempt_lineage_verified,reviewer,review_notes
CC-11,clean-run-v1,20260626T132703Z-clean-run-eu-us-gac-v1__pilot-balanc--2568e4944a13--region_user_value_topk__lookback_days-3__limit_k-50,mr_user_value_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_user_value_topk__lookback_days-3__limit_k-50,gac_fdw_multiregion_user_value_topk,user_value_topk,multiregion_union,"fdw_union_all,high_group_cardinality,topk",,pilot-balanced-v1,default,1,"eu,us","eu,us",2,64,0,1.0,,family=user_value_topk;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,00f020ffc5f28d05f408d9ef7e775a454edc1ae4916a41009870602c0270a1fb,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T132703Z-66009f1605cf19f5.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=64; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-12,clean-run-v1,20260626T173209Z-clean-run-eu-us-gac-v1__pilot-skew-h--738e272fd772--enant_point_rollup__tenant_id-100__lookback_days-30,etl_tenant_point_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_etl_tenant_point_rollup__tenant_id-100__lookback_days-30,gac_etl_tenant_point_rollup,tenant_point_rollup,etl_materialized,"local_etl_read,tenant_filter,low_remote_pressure",,pilot-skew-heavy-v1,default,1,,,0,0,0,1.0,,family=tenant_point_rollup;strategy=etl_materialized;run=clean-run-v1,collector-correctness-v1,004567dcc505814207498d11faf5980be9189dc30fc2e503fbcd24ee52595215,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T173209Z-ff901ea9a39640e5.explain.json; remote_plans=0; remote_query_texts=0; worker_plans=0; remote_roots=N/A; attempt=1
CC-13,clean-run-v1,20260626T173427Z-clean-run-eu-us-gac-v1__pilot-skew-h--70393561db8b--ulti_dimension_rollup__lookback_days-30__limit_k-10,fdw_multi_dimension_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multi_dimension_rollup__lookback_days-30__limit_k-10,gac_fdw_multi_dimension_rollup,multi_dimension_rollup,fdw_raw,"fdw_remote_join,multi_join,daily_group_by",,pilot-skew-heavy-v1,default,1,eu,eu,3,65,0,1.0,,family=multi_dimension_rollup;strategy=fdw_raw;run=clean-run-v1,collector-correctness-v1,00c0b47a9ede788d7cabb6f7477d3cb934f22b90a05e2b3029cedec3a3e73e90,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T173427Z-9b91ce83e209eba3.explain.json; remote_plans=3; remote_query_texts=3; worker_plans=65; remote_roots=Custom Scan,Custom Scan,Custom Scan; attempt=1"
CC-14,clean-run-v1-validation-holdout,20260706T013604Z-clean-run-eu-us-gac-validation-holdo--6afad4e1ee02--_tenant_id-800__us_tenant_id-10800__lookback_days-7,holdout_mr_tenant_point_controls__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10800__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,multiregion_union,"fdw_union_all,tenant_filter,remote_pushdown_candidate",dataset_region_asymmetry,pilot-balanced-v1,default,1,"eu,us","eu,us",2,2,0,1.0,,family=tenant_point_rollup;strategy=multiregion_union;run=clean-run-v1-validation-holdout,collector-correctness-v1,00a0c908c207b0f0a990e7978ed4edf17c1a7d21494903ac9c04acbbe855a23b,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260706T013604Z-0b254f3a11cf9d18.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=2; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-15,clean-run-v1,20260626T205034Z-clean-run-eu-us-gac-v1__pilot-skew-h--493c7577ac6d--__q02_global_user_topk__lookback_days-1__limit_k-25,single_user_value_default__dataset-pilot-skew-heavy-v1__runtime-default__q02_global_user_topk__lookback_days-1__limit_k-25,q02_global_user_topk,user_value_topk,single_region_citus,"high_group_cardinality,final_ordering,topk",,pilot-skew-heavy-v1,default,1,,,0,0,0,1.0,,family=user_value_topk;strategy=single_region_citus;run=clean-run-v1,collector-correctness-v1,0205ab8d1c5f30d7608b9cd3022d3f78806b5f601313a2c1379ad6ba8d2ae970,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T205034Z-2dc366c8229effe8.explain.json; remote_plans=0; remote_query_texts=0; worker_plans=0; remote_roots=N/A; attempt=1
CC-16,clean-run-v1,20260626T171653Z-clean-run-eu-us-gac-v1__pilot-skew-h--964fc05f44b0--ulti_dimension_rollup__lookback_days-7__limit_k-100,mr_multi_dimension_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-100,gac_fdw_multiregion_multi_dimension_rollup,multi_dimension_rollup,multiregion_union,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",,pilot-skew-heavy-v1,default,1,"eu,us","eu,us",6,130,0,1.0,,family=multi_dimension_rollup;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,00d3fdc0ed056117860077a9d3555f0d2352e70fc77b286aeb93f34d5ec08a72,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T171653Z-f3d86a0e7c2627ef.explain.json; remote_plans=6; remote_query_texts=6; worker_plans=130; remote_roots=Custom Scan,Custom Scan,Custom Scan,Custom Scan,Custom Scan,Custom Scan; attempt=1"
CC-17,clean-run-v1-region-asymmetry,20260702T015647Z-clean-run-eu-us-gac-region-asymmetry--43736f2d47cb--ulti_dimension_rollup__lookback_days-7__limit_k-100,asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-100,gac_fdw_multiregion_multi_dimension_rollup,multi_dimension_rollup,multiregion_union,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",dataset_region_asymmetry,pilot-region-imbalanced-v1,default,1,"eu,us","eu,us",6,130,6,1.0,,family=multi_dimension_rollup;strategy=multiregion_union;run=clean-run-v1-region-asymmetry,collector-correctness-v1,01200f814f757a1b2bd794b04126a803a4dc453488ef587f755d6f92b7d07c49,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260702T015647Z-f47de336185fcb32.explain.json; remote_plans=6; remote_query_texts=6; worker_plans=130; remote_roots=Custom Scan,Custom Scan,Custom Scan,Custom Scan,Custom Scan,Custom Scan; attempt=1"
CC-18,clean-run-v1-region-asymmetry-skew-rerun,20260704T033027Z-clean-run-eu-us-gac-region-asymmetry--c8e0fc41c0b8--tenant_id-100__us_tenant_id-10020__lookback_days-30,asymmetry_mr_tenant_point_control__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-100__us_tenant_id-10020__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,multiregion_union,"fdw_union_all,tenant_filter,remote_pushdown_candidate",dataset_region_asymmetry,pilot-region-local-skew-asymmetric-medium-v1,default,1,"eu,us","eu,us",2,2,0,1.0,,family=tenant_point_rollup;strategy=multiregion_union;run=clean-run-v1-region-asymmetry-skew-rerun,collector-correctness-v1,020476b1b69f3a20268ab7a624dc6e8a539adb891cd2ddc13c35396b8b8c9e5a,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260704T033027Z-af69411ee6885b36.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=2; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-19,clean-run-v1-validation-holdout,20260706T030100Z-clean-run-eu-us-gac-validation-holdo--1b3b784ba7de--_tenant_id-100__us_tenant_id-10001__lookback_days-7,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-100__us_tenant_id-10001__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,multiregion_union,"fdw_union_all,tenant_filter,remote_pushdown_candidate",dataset_region_asymmetry,pilot-region-local-skew-asymmetric-medium-v1,default,1,"eu,us","eu,us",2,2,0,1.0,,family=tenant_point_rollup;strategy=multiregion_union;run=clean-run-v1-validation-holdout,collector-correctness-v1,03b110a7318f8c04ab36433d6690cc3b3c7e78a2d27018afb21bf516bb52f198,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260706T030100Z-5074663d1e22deac.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=2; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-20,clean-run-v1-validation-holdout,20260706T121653Z-clean-run-eu-us-gac-validation-holdo--e97b768ce42f--_rollup__lookback_days-7__min_value-500__limit_k-50,holdout_mr_daily_rollup_workmem__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-work_mem_low__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-500__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,daily_tenant_rollup,multiregion_union,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",work_mem,pilot-region-local-skew-asymmetric-medium-v1,work_mem_low,4,"eu,us","eu,us",2,64,0,1.0,,family=daily_tenant_rollup;strategy=multiregion_union;run=clean-run-v1-validation-holdout,collector-correctness-v1,05f2128e76181d83373f3fde1b866b12580024840c9af46abefc933e0e5ac364,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260706T121653Z-3975a351dfcd4b96.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=64; remote_roots=Custom Scan,Custom Scan; attempt=4"
CC-21,clean-run-v1,20260626T161447Z-clean-run-eu-us-gac-v1__pilot-balanc--50da6a3a707a--multi_dimension_rollup__lookback_days-7__limit_k-25,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_high__gac_fdw_multi_dimension_rollup__lookback_days-7__limit_k-25,gac_fdw_multi_dimension_rollup,multi_dimension_rollup,fdw_raw,"fdw_remote_join,multi_join,daily_group_by",work_mem,pilot-balanced-v1,work_mem_high,1,eu,eu,3,65,3,1.0,,family=multi_dimension_rollup;strategy=fdw_raw;run=clean-run-v1,collector-correctness-v1,00d41d4d777a5e9e29ac8a30849f08c75ae39ae8def43fbbc10e744a419f67d6,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T161447Z-52a6d7fc54e33798.explain.json; remote_plans=3; remote_query_texts=3; worker_plans=65; remote_roots=Custom Scan,Custom Scan,Custom Scan; attempt=1"
CC-22,clean-run-v1,20260626T203731Z-clean-run-eu-us-gac-v1__pilot-skew-h--70c6e0c3398b--al_user_segment_join__lookback_days-30__limit_k-100,single_global_user_default__dataset-pilot-skew-heavy-v1__runtime-default__q07_global_user_segment_join__lookback_days-30__limit_k-100,q07_global_user_segment_join,global_user_topk,single_region_citus,"non_colocated_join,repartition_candidate,high_group_cardinality",,pilot-skew-heavy-v1,default,1,,,0,0,0,1.0,,family=global_user_topk;strategy=single_region_citus;run=clean-run-v1,collector-correctness-v1,099db9a70bd9575c23877b4f36bac40e0282aaff76d2ede2e00550dc82a8bfdb,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T203731Z-2f8a9111c4db99a1.explain.json; remote_plans=0; remote_query_texts=0; worker_plans=0; remote_roots=N/A; attempt=1
CC-23,clean-run-v1,20260626T123819Z-clean-run-eu-us-gac-v1__pilot-balanc--bf595d0a77a2--u_tenant_id-10__us_tenant_id-10100__lookback_days-1,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-10__us_tenant_id-10100__lookback_days-1,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,multiregion_union,"fdw_union_all,tenant_filter,remote_pushdown_candidate",,pilot-balanced-v1,default,1,"eu,us","eu,us",2,2,0,1.0,,family=tenant_point_rollup;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,00dde6f5eefabef474d810437d4012962ac97d9d5fbdcd14f69c2eea2d3e4a39,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T123819Z-1e8e18b36b96e332.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=2; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-24,clean-run-v1,20260626T170131Z-clean-run-eu-us-gac-v1__pilot-skew-h--7f79e0e831c8--c_fdw_user_value_topk__lookback_days-7__limit_k-100,fdw_user_value_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_user_value_topk__lookback_days-7__limit_k-100,gac_fdw_user_value_topk,user_value_topk,fdw_raw,"fdw_remote_scan,high_group_cardinality,topk",,pilot-skew-heavy-v1,default,1,eu,eu,1,32,0,1.0,,family=user_value_topk;strategy=fdw_raw;run=clean-run-v1,collector-correctness-v1,0145824046be952faf0c5a8d9e7af397a1581e5a1e451da0d1211a00631bf35e,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T170131Z-7ba4d25b2cf4f933.explain.json; remote_plans=1; remote_query_texts=1; worker_plans=32; remote_roots=Custom Scan; attempt=1
