query_run_id,pair_id,variant,template_id,dataset_profile_id,intervention_role,mitigation_action,join_shape_id,distribution_key,join_uses_distribution_key,citus_repartition_observed_v2,remote_citus_map_merge_job_count_sum,eligibility_status,colocation_review_candidate,decision_scope,workload_wide_redistribution_safe
20260730T223751Z-pressure-raw-v1-gac__pilot-balanced---8dc759f0c003--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2,pair-25e985b6230c3b396eae2ff7,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223805Z-pressure-raw-v1-gac__pilot-balanced---86bb444805ce--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8,pair-5bd0ed34617a188d1fb664fa,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223817Z-pressure-raw-v1-gac__pilot-balanced---e59649447380--cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16,pair-934597585ef43a8bb49d3d85,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223832Z-pressure-raw-v1-gac__pilot-balanced---181c0db9eb8e--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,pair-ac858153a430fc758b31efa8,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223845Z-pressure-raw-v1-gac__pilot-balanced---f3bdce106ba9--64000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,pair-d4efe84d5f7010eb826467db,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223857Z-pressure-raw-v1-gac__pilot-balanced---e2cc65475bb4--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,pair-ac858153a430fc758b31efa8,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223914Z-pressure-raw-v1-gac__pilot-balanced---0d98f26c41ac--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000,pair-ca9d40d4b2d5d859815c39df,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223931Z-pressure-raw-v1-gac__pilot-balanced---7866b0b430a4--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-500,pair-45c0d0eb1ef8ac1c9d460916,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223945Z-pressure-raw-v1-gac__pilot-balanced---4189899d4e3a--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-5000,pair-197f3754e8fc7f33437c3e23,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223959Z-pressure-raw-v1-gac__pilot-balanced---37d661e45046--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-25,pair-a0c13596e59f96c6aa144f63,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224013Z-pressure-raw-v1-gac__pilot-balanced---ac57c45c4bc0--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-100,pair-a36c41eb897973bac8865ada,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224025Z-pressure-raw-v1-gac__pilot-balanced---dfa19ab6ef85--6-06-01-00-00-00-00__tenant_modulus-16__limit_k-100,pair-badf7933ad16fb9e39d057f9,stressed,gac_fdw_coordinator_raw_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224038Z-pressure-raw-v1-gac__pilot-balanced---266cb11d9ec0--00__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-5,pair-b32d60864c7576e698ea797b,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224051Z-pressure-raw-v1-gac__pilot-balanced---8dc759f0c003--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2,pair-25e985b6230c3b396eae2ff7,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224104Z-pressure-raw-v1-gac__pilot-balanced---4189899d4e3a--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-5000,pair-197f3754e8fc7f33437c3e23,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224121Z-pressure-raw-v1-gac__pilot-balanced---9e26ad8a394c--26-06-01-00-00-00-00__tenant_modulus-8__limit_k-100,pair-ca5c9bb9419cd536de0049c1,stressed,gac_fdw_coordinator_raw_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224134Z-pressure-raw-v1-gac__pilot-balanced---5577b4bab7e5--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50,pair-a5d92bba62abcfb74645a788,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224148Z-pressure-raw-v1-gac__pilot-balanced---1946c38e2770--26-06-01-00-00-00-00__tenant_modulus-1__limit_k-100,pair-707d0441742b53878e4f52c2,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224202Z-pressure-raw-v1-gac__pilot-balanced---37d661e45046--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-25,pair-a0c13596e59f96c6aa144f63,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224215Z-pressure-raw-v1-gac__pilot-balanced---cced4012891b--6-06-01-00-00-00-00__tenant_modulus-16__limit_k-100,pair-badf7933ad16fb9e39d057f9,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224227Z-pressure-raw-v1-gac__pilot-balanced---f9d211b9dfc8--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-500,pair-45c0d0eb1ef8ac1c9d460916,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224242Z-pressure-raw-v1-gac__pilot-balanced---1946c38e2770--26-06-01-00-00-00-00__tenant_modulus-1__limit_k-100,pair-707d0441742b53878e4f52c2,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224257Z-pressure-raw-v1-gac__pilot-balanced---181c0db9eb8e--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,pair-ac858153a430fc758b31efa8,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224310Z-pressure-raw-v1-gac__pilot-balanced---ffc9d7f8e15c--26-06-01-00-00-00-00__tenant_modulus-4__limit_k-100,pair-abed8d8bc1eeb02e4a4aa523,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224322Z-pressure-raw-v1-gac__pilot-balanced---ffc9d7f8e15c--26-06-01-00-00-00-00__tenant_modulus-4__limit_k-100,pair-abed8d8bc1eeb02e4a4aa523,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224335Z-pressure-raw-v1-gac__pilot-balanced---37d661e45046--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-25,pair-a0c13596e59f96c6aa144f63,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224348Z-pressure-raw-v1-gac__pilot-balanced---2f4545dd45b0--26-06-01-00-00-00-00__tenant_modulus-2__limit_k-100,pair-54d1ade38c47639f952b532f,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224401Z-pressure-raw-v1-gac__pilot-balanced---d45dc10289bc--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-10,pair-d688968b70c5c553dccddd02,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224413Z-pressure-raw-v1-gac__pilot-balanced---2b64c92726d1--__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-100,pair-db3dc5d93a5cf91231c1b304,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224430Z-pressure-raw-v1-gac__pilot-balanced---c4296685592e--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1,pair-a6ac895eaadb147a5fb3caab,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224446Z-pressure-raw-v1-gac__pilot-balanced---ba4370c22c29--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000,pair-ca9d40d4b2d5d859815c39df,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224500Z-pressure-raw-v1-gac__pilot-balanced---5577b4bab7e5--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50,pair-a5d92bba62abcfb74645a788,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224514Z-pressure-raw-v1-gac__pilot-balanced---3e298aaf0155--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50,pair-a5d92bba62abcfb74645a788,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224527Z-pressure-raw-v1-gac__pilot-balanced---810d5e507c85--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8,pair-5bd0ed34617a188d1fb664fa,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224541Z-pressure-raw-v1-gac__pilot-balanced---cdfd8f88853c--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-10,pair-d688968b70c5c553dccddd02,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224553Z-pressure-raw-v1-gac__pilot-balanced---ac57c45c4bc0--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-100,pair-a36c41eb897973bac8865ada,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224606Z-pressure-raw-v1-gac__pilot-balanced---92ee2f8760f7--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1,pair-a6ac895eaadb147a5fb3caab,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224618Z-pressure-raw-v1-gac__pilot-balanced---e59649447380--cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16,pair-934597585ef43a8bb49d3d85,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224632Z-pressure-raw-v1-gac__pilot-balanced---f3de8d54d838--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-100,pair-a36c41eb897973bac8865ada,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224649Z-pressure-raw-v1-gac__pilot-balanced---d45dc10289bc--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-10,pair-d688968b70c5c553dccddd02,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224701Z-pressure-raw-v1-gac__pilot-balanced---a5061b4f4673--26-06-01-00-00-00-00__tenant_modulus-1__limit_k-100,pair-707d0441742b53878e4f52c2,stressed,gac_fdw_coordinator_raw_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224717Z-pressure-raw-v1-gac__pilot-balanced---cced4012891b--6-06-01-00-00-00-00__tenant_modulus-16__limit_k-100,pair-badf7933ad16fb9e39d057f9,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224729Z-pressure-raw-v1-gac__pilot-balanced---4c7cd45096f0--26-06-01-00-00-00-00__tenant_modulus-8__limit_k-100,pair-ca5c9bb9419cd536de0049c1,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224742Z-pressure-raw-v1-gac__pilot-balanced---2f4545dd45b0--26-06-01-00-00-00-00__tenant_modulus-2__limit_k-100,pair-54d1ade38c47639f952b532f,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224755Z-pressure-raw-v1-gac__pilot-balanced---7866b0b430a4--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-500,pair-45c0d0eb1ef8ac1c9d460916,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224808Z-pressure-raw-v1-gac__pilot-balanced---cced4012891b--6-06-01-00-00-00-00__tenant_modulus-16__limit_k-100,pair-badf7933ad16fb9e39d057f9,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224820Z-pressure-raw-v1-gac__pilot-balanced---f3bdce106ba9--64000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,pair-d4efe84d5f7010eb826467db,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224832Z-pressure-raw-v1-gac__pilot-balanced---96d7704f93b2--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-5000,pair-197f3754e8fc7f33437c3e23,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224846Z-pressure-raw-v1-gac__pilot-balanced---181c0db9eb8e--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,pair-ac858153a430fc758b31efa8,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224859Z-pressure-raw-v1-gac__pilot-balanced---b89862566187--cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16,pair-934597585ef43a8bb49d3d85,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224912Z-pressure-raw-v1-gac__pilot-balanced---0e1793127410--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-25,pair-a0c13596e59f96c6aa144f63,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224924Z-pressure-raw-v1-gac__pilot-balanced---e0d81163c4f0--__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-100,pair-db3dc5d93a5cf91231c1b304,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224936Z-pressure-raw-v1-gac__pilot-balanced---9e26ad8a394c--26-06-01-00-00-00-00__tenant_modulus-8__limit_k-100,pair-ca5c9bb9419cd536de0049c1,stressed,gac_fdw_coordinator_raw_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T224949Z-pressure-raw-v1-gac__pilot-balanced---0156d4e5f815--00__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-5,pair-b32d60864c7576e698ea797b,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T225001Z-pressure-raw-v1-gac__pilot-balanced---0d98f26c41ac--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000,pair-ca9d40d4b2d5d859815c39df,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T225016Z-pressure-raw-v1-gac__pilot-balanced---ac57c45c4bc0--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-100,pair-a36c41eb897973bac8865ada,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
